filename;section;text;light
001.rtf;common;На должность коммерческого агента назначается лицоимеющее среднее профессиональное образование и специальная подготовка по установленной программе без предъявления требований к стажу работы;1
001.rtf;common;Назначение на должность коммерческого агента и освобождение от нее производится приказом директора предприятия;1
001.rtf;common;Коммерческий агент должен знать;1
001.rtf;common;Нормативные правовые актыположенияинструкциидругие руководящие материалы и документыкасающиеся ведения бизнеса;0
001.rtf;common;Основы рыночной экономики;0
001.rtf;common;Методы установления деловых контактов;0
001.rtf;common;Порядок оформления документовсвязанных с куплей-продажей товаров и заключением договоровсоглашений и контрактов на оказание услуг;0
001.rtf;common;Основы трудовогофинансового хозяйственного  и налогового законодательства;0
001.rtf;common;Действующие формы учета и отчетности;0
001.rtf;common;Организацию погрузочно-разгрузочных работ;0
001.rtf;common;Условия хранения и транспортировки товаров;0
001.rtf;common;Правила внутреннего трудового распорядка;0
001.rtf;common;. Правила и нормы охраны труда;0
001.rtf;common;..;0
001.rtf;common;Коммерческий агент подчиняется непосредственно .;1
001.rtf;common;На время отсутствия коммерческого агента (отпускболезньпр.) его обязанности исполняет лицоназначенное в установленном порядке. Данное лицо приобретает соответствующие права и несет ответственность за надлежащее их исполнение;1
001.rtf;common;.;0
001.rtf;tasks;Коммерческий агент;1
001.rtf;tasks;Участвует в работе по установлению необходимых деловых контактов между покупателями и продавцами товароввключая техническую и другую продукцию (оборудованиесырьеполуфабрикаты и др.)а также оказанию различных коммерческих услуг;0
001.rtf;tasks;Содействует покупке и продаже партий товаров (оптом)а также театральноймузыкальной и других видов творческой продукции (постановка представленийвыступление артистовспортсменовиздание книгзапись музыкальных произведений и др.);0
001.rtf;tasks;Обеспечивает надлежащее оформление заключаемых договоров и контрактовдругих необходимых документовв том числе страховых  и экспортных лицензий;0
001.rtf;tasks;Выполняет необходимую техническую работу при заключении соглашенийдоговоров и контрактовразмещении рекламы в средствах массовой информации;0
001.rtf;tasks;Организует предоставление транспортных средств и обеспечение выполнения других условийпредусмотренных заключенными соглашениямидоговорами и контрактамиоказывает помощь в доставке товаров;0
001.rtf;tasks;.;0
001.rtf;rights;Коммерческий агент имеет право;1
001.rtf;rights;Знакомиться с проектами решений руководства предприятиякасающихся его деятельности;0
001.rtf;rights;Запрашивать лично или по поручению непосредственного руководителя от руководителей подразделений предприятия и специалистов информацию и документынеобходимые для выполнения его должностных обязанностей;0
001.rtf;rights;Вносить на рассмотрение руководства предложения по совершенствованию работысвязанной с предусмотренными настоящей инструкцией обязанностями;0
001.rtf;rights;В пределах своей компетенции сообщать своему непосредственному руководителю о всех выявленных в процессе своей деятельности недостатках и вносить предложения по их устранению;0
001.rtf;rights;Требовать от руководства предприятия оказания содействия в исполнении им его должностных обязанностей и прав;0
001.rtf;rights;.;0
001.rtf;respons;Коммерческий агент несет ответственность;1
001.rtf;respons;За ненадлежащее исполнение или неисполнение своих должностных обязанностейпредусмотренных настоящей должностной инструкцией - в пределахопределенных действующим трудовым законодательством Российской Федерации;0
001.rtf;respons;За правонарушениясовершенные в процессе осуществления своей деятельности - в пределахопределенных действующим административнымуголовным и гражданским законодательством Российской Федерации;0
001.rtf;respons;За причинение материального ущерба - в пределахопределенных действующим трудовым и гражданским законодательством Российской Федерации;0
001.rtf;respons;.;0
002.rtf;common;Агент по закупкам относится к категории технических исполнителей;0
002.rtf;common;На должность агента по закупкам назначается лицоимеющее среднее (полное) общее образование и специальная подготовка по установленной программе без предъявления требований к стажу работы;0
002.rtf;common;Назначение на должность агента по закупкам и освобождение от нее;0
002.rtf;common;производится приказом директора предприятия по представлению ;0
002.rtf;common;.;0
002.rtf;common;"(заведующего объектом торговли; заведующего объектом торговли; ";0
002.rtf;common;Агент по закупкам должен знать;1
002.rtf;common;Нормативные правовые актыположенияинструкциидругие руководящие материалы и документыкасающиеся порядка заключения договоров с поставщиками;0
002.rtf;common;Основы рыночной экономики;0
002.rtf;common;Основы трудовогофинансового и хозяйственного законодательства;0
002.rtf;common;Методы делового общения;0
002.rtf;common;Методы и средства определения качества закупаемой продукции;0
002.rtf;common;Организацию погрузочно-разгрузочных работ;0
002.rtf;common;Правила и порядок приемкиотправки и сдачи продукциизаказа контейнеров и транспортных средств;0
002.rtf;common;Условия хранения и перевозки закупаемой продукции;0
002.rtf;common;Формы и порядок оформления приемосдаточных документов;0
002.rtf;common;. Основы организации труда;0
002.rtf;common;. Правила внутреннего трудового распорядка;0
002.rtf;common;. Правила и нормы охраны труда;0
002.rtf;common;..;0
002.rtf;common;Агент по закупкам подчиняется непосредственно ;1
002.rtf;common;заведующему;1
002.rtf;common;"объектом торговли;заведующему складом объекта торговли; иному должностному";1
002.rtf;common;лицу;1
002.rtf;common;На время отсутствия агента по закупкам (отпускболезньпр.) его обязанности исполняет лицоназначенное в установленном порядке. Данное лицо приобретает соответствующие права и несет ответственность за надлежащее их исполнение;1
002.rtf;common;.;0
002.rtf;tasks;Агент по закупкам;1
002.rtf;tasks;Осуществляет работу по закупке у населения сельскохозяйственной продукции собственного производства в соответствии с заключаемыми договорамиопределяющими характер и объем поставока также их оплату;1
002.rtf;tasks;Выезжает в сельскохозяйственные районывыявляет потенциальных поставщиков (продавцов) производимой ими продукциизаключает договоры купли-продажи;1
002.rtf;tasks;Проводит разъяснительную работу среди населения о порядке заключения договоров купли-продажи на обоюдно-выгодных условияхпринимает меры по установлению долгосрочных связей с производителями сельскохозяйственной продукции;1
002.rtf;tasks;Осуществляет контроль качества приобретаемой продукции;1
002.rtf;tasks;Оформляет в соответствии с установленным порядком документацию на издаваемую продукциюзаказывает контейнеры и транспортные средства для ее перевозки;1
002.rtf;tasks;Контролирует наличие необходимых приспособлений и санитарное состояние транспортных средствпредназначенных для перевозкиправильность проведения погрузочно-разгрузочных работ и рациональное размещение продукции;1
002.rtf;tasks;Отправляет закупленную продукцию в адрес поручителясопровождает грузы в пути следованиясоблюдая санитарные требования и правила хранения продукции при транспортировкесодействует их своевременной доставке;1
002.rtf;tasks;Следит за соблюдением требований охраны труда при проведении погрузочно-разгрузочных работ;1
002.rtf;tasks;Сдает доставленную продукциюоформляет установленную приемосдаточную документацию;1
002.rtf;tasks;..;0
002.rtf;rights;Агент по закупкам имеет право;1
002.rtf;rights;Знакомиться с проектами решений руководства предприятиякасающихся его деятельности;0
002.rtf;rights;Запрашивать лично или по поручению непосредственного руководителя от руководителей подразделений предприятия и специалистов информацию и документынеобходимые для выполнения его должностных обязанностей;0
002.rtf;rights;Вносить на рассмотрение руководства предложения по совершенствованию работысвязанной с предусмотренными настоящей инструкцией обязанностями;0
002.rtf;rights;В пределах своей компетенции сообщать своему непосредственному руководителю о всех выявленных в процессе своей деятельности недостатках и вносить предложения по их устранению;0
002.rtf;rights;Требовать от руководства предприятия оказания содействия в исполнении им его должностных обязанностей и прав;0
002.rtf;rights;.;0
002.rtf;respons;Агент по закупкам несет ответственность;1
002.rtf;respons;За ненадлежащее исполнение или неисполнение своих должностных обязанностейпредусмотренных настоящей должностной инструкцией - в пределахопределенных действующим трудовым законодательством Российской Федерации;0
002.rtf;respons;За правонарушениясовершенные в процессе осуществления своей деятельности - в пределахопределенных действующим административнымуголовным и гражданским законодательством Российской Федерации;0
002.rtf;respons;За причинение материального ущерба - в пределахопределенных действующим трудовым и гражданским законодательством Российской Федерации;0
002.rtf;respons;.;0
